,1_Movie,AudienceAverageRating,AudienceScore,BoxOffice,Cast,CriticAverageRating,CriticNegativeReviewsCount,CriticPositiveReviewsCount,CriticScore,DirectedBy,Genre,Genre_Action&Adventure,Genre_Animation,Genre_Anime&Manga,Genre_ArtHouse&International,Genre_Classics,Genre_Comedy,Genre_CultMovies,Genre_Documentary,Genre_Drama,Genre_Faith&Spirituality,Genre_Gay&Lesbian,Genre_Horror,Genre_Kids&Family,Genre_Musical&PerformingArts,Genre_Mystery&Suspense,Genre_Romance,Genre_ScienceFiction&Fantasy,Genre_SpecialInterest,Genre_Sports&Fitness,Genre_Television,Genre_Western,InTheaters,OnDisc/Streaming,Rating,Rating_G,Rating_NC17,Rating_NR,Rating_PG,Rating_PG-13,Rating_R,Runtime,Studio,WrittenBy
0,"1,000 Times Good Night",3.6,65%,"$53,025",Juliette Binoche|Nikolaj Coster-Waldau|Lauryn Canny|Chlo Annett|Adrianna Cramer Curtis|Bush Moukarzel|Eve Macklin|Mads Ousdal|Maria Doyle Kennedy|Larry Mullen Jr.|Des Nealon|Jonathan Byrne|Najat Azgar|Zoubida Afik|Jameela Shafaq|Omar Elmouden|Caitriona Nimhurchu|Stephen Mullan|Carl Shaaban|Peter Sexton|Denise McCormack|Anna Leah Thorseth Poppe,6,15,37,71%,Erik Poppe,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Oct24,2014 limited","Feb 2, 2015",NR,0,0,1,0,0,0,117 minutes,Film Movement,Harald Rosenlw-Eeg
1,100 Bloody Acres,3.1,47%,"$53,025",Damon Herriman|Angus Sampson|Anna McGahan|Oliver Ackland|Jamie Kristian|John Jarratt|Chrissie Page|Paul Blackwell|Iain Herridge|Ward Everaardt|Reg the Dog,6.5,6,29,83%,"Colin Cairnes, Cameron Cairnes","Comedy,Horror",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Jun28,2013 limited","Oct 1, 2013",NR,0,0,1,0,0,0,91 minutes,Doppelganger Releasing,"Colin Cairnes, Cameron Cairnes"
2,1001 Grams,3,47%,"$53,025",Ane Dahl Torp|Laurent Stocker|Stein Winge|Hildegun Riise|Per Christian Ellefsen|Peter Hudson|Didier Flamand|Dinara Drukarova|Torsten Knippertz|Daniel Drewes|Joseph Rezwin|Christian Erickson,6.8,4,17,81%,Bent Hamer,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"May8,2015 limited","Oct 5, 2015",NR,0,0,1,0,0,0,93 minutes,Kino Lorber,Bent Hamer
3,11-11-11,2,17%,"$53,025",Timothy Gibbs|Wendy Glenn|Michael Landes|Denis Rafter|Llus Soler|Salom Jimnez|Brendan Price|Benjamin Cook|Angela Rosal|Lolo Herrero,3.7,13,1,7%,Darren Lynn Bousman,"Drama,Horror",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"May8,2015 limited","Nov 21, 2011","PG-13 (for violence/terror, some disturbing images and thematic material)",0,0,0,0,1,0,95 minutes,Rocket Releasing,Darren Lynn Bousman
4,"2 Autumns, 3 Winters",3.4,50%,"$53,025",Vincent Macaigne|Maud Wyler|Bastien Bouillon|Audrey Bastien|Thomas Blanchard|Pauline Etienne|Olivier Chantreau|Eriko Takeda|Jean-Quentin Chtelain,6.8,2,7,78%,Sbastien Betbeder,"ArtHouse&International,Comedy,Drama",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Jun6,2014 limited","Jun 16, 2014",NR,0,0,1,0,0,0,91 minutes,Film Movement,Sbastien Betbeder
5,2 Days in New York,3,42%,"$500,000",Chris Rock|Julie Delpy|Albert Delpy|Alexia Landeau|Alexandre Nahon|Dylan Baker|Kate Burton|Malinda Williams|Talen Riley|Alex Manette|Emily Wagner|Daniel Brhl,6.3,36,69,66%,Julie Delpy,"Comedy,Drama",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Aug10,2012 limited","Nov 13, 2012","R (for language, sexual content, some drug use and brief nudity)",0,0,0,0,0,1,91 minutes,Magnolia Pictures,"Julie Delpy, Alex Nahon"
6,28 Hotel Rooms,3,37%,"$16,017",Marin Ireland|Chris Messina,6.2,8,6,43%,Matt Ross,"Drama,Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Nov9,2012 limited","Feb 11, 2013",NR,0,0,1,0,0,0,82 minutes,Oscilloscope Pictures,Matt Ross
7,3 Days To Kill,3.1,43%,"$16,017",Kevin Costner|Hailee Steinfeld|Amber Heard|Connie Nielsen|Eriq Ebounay,4.4,80,31,28%,McG,Mystery&Suspense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Feb21,2014 wide","May 20, 2014","PG-13 (for intense sequences of violence and action, some sensuality and language)",0,0,0,0,1,0,100 minutes,Relativity Media,"Luc Besson, Adi Hasak"
8,3 Generations,3,43%,"$66,371",Elle Fanning|Naomi Watts|Susan Sarandon|Tate Donovan|Linda Emond|Maria Dizzia|Sam Trammell|Andrew Polk|Marcos Gonzalez|Ira Jackson|Antonio Ortiz|Marquis Rodriguez|Tessa Albertson|Carlos Jordan|Gameela Wright|Lucca De Oliveira|Francesca Keller|Jinn S. Kim|Elle Winter|Susan Blackwell|Maxwell Simkins|Matta Marie Conforti|Eva Kaminsky,5,28,13,32%,Gaby Dellal,"Comedy,Drama",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"May5,2017 limited","Jun 13, 2017","PG-13 (for mature thematic content, some sexual references and language)",0,0,0,0,1,0,87 minutes,The Weinstein Company,"Nikole Beckwith, Gaby Dellal"
9,3 Nights In The Desert,3.9,65%,"$1,279",Amber Tamblyn|Vincent Piazza|Wes Bentley,4.6,3,2,40%,Gabriel Cowan,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Feb6,2015 limited","Mar 31, 2015",R (for language and some sexual content),0,0,0,0,0,1,90 minutes,Monterey Media Inc.,Adam Chanzit
10,3 Women,4,86%,"$1,279",Shelley Duvall|Sissy Spacek|Janice Rule|Robert Fortier|Ruth Nelson|John Cromwell|Sierra Pecheur|Craig Richard Nelson|Maysie Hoy|Belita Moreno|Leslie Ann Hudson|Patricia Ann Hudson|Beverly Ross|John Davey,8.1,1,26,96%,Robert Altman,"Classics,Drama",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Apr3,1977 wide","Apr 20, 2004",PG,0,0,0,1,0,0,124 minutes,20th Century Fox,Robert Altman
11,"3, 2, 1... Frankie Go Boom",3.1,42%,"$1,279",Charlie Hunnam|Chris O'Dowd|Lizzy Caplan|Whitney Cummings|Nora Dunn|Sam Anderson|Ron Perlman|Chris Noth|Kate Luyben|David Marciano|Sarah Rush|Frank Alvarez|Ramon Chavez|Leonard Kelly-Young|Jordan Black|Adam Pally|James Mitchell Miller|Sophia Curran|Justin Dray|Marcel Langenegger,5.3,11,8,42%,Jordan Roberts,"Comedy,Drama",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Oct12,2012 limited","Jun 10, 2013",PG-13,0,0,0,0,1,0,89 minutes,Variance Films,Jordan Roberts
12,30 Years to Life,3.1,68%,"$1,279",Erika Alexander|Melissa DeSousa|Tracy Morgan|Paula Jai Parker|Allen Payne|Kadeem Hardison|T.E. Russell,5.6,3,6,67%,Vanessa Middleton,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jun7,2002 wide","Apr 6, 2004",R (language and some sexuallity),0,0,0,0,0,1,110 minutes,Kino International,Vanessa Middleton
13,47 Ronin,3.2,48%,"$20,518,224",Keanu Reeves|Hiroyuki Sanada|Tadanobu Asano|Min Tanaka|Jin Akanishi|K Shibasaki|Rinko Kikuchi|Masayoshi Haneda|Hiroshi Sogabe|Takato Yonemoto|Hiroshi Yamada|Shu Nakajima|Cary-Hiroyuki Tagawa|Neil Fingleton|Natsuki Kunimoto|Togo Igawa|Tanroh Ishida|Eizo Tomita|Dai Tabuchi|Masayuki Deai|Yorick van Wageningen|Junichi Kajioka|Clyde Kusatsu|Haruka Abe|Tomoko Komura|Takako Akashi|Akira Koieyama|Aria Maekawa|Daniel Barber|Masashi Fujimoto|Gedde Watanabe|Manato Sekiguchi|Rick Genest|Brian Hirono|Ron Bottitta|Andy Brown,4.2,69,12,15%,Carl Erik Rinsch,"Action&Adventure,Drama,ScienceFiction&Fantasy",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Dec25,2013 wide","Apr 1, 2014","PG-13 (for intense sequences of violence and action, some disturbing images, and thematic elements)",0,0,0,0,1,0,127 minutes,Universal Pictures,"Chris Morgan, Hossein Amini"
14,5 Children and It,3,42%,"$20,518,224",Kenneth Branagh|Zo Wanamaker|Freddie Highmore|Jonathan Bailey|Jessica Claridge|Poppy Rogers|Tara Fitzgerald|Alex Jennings|John Sessions|Norman Wisdom|Duncan Preston|Eddie Izzard|Alec Muggleton|Zak Muggleton|Alexander Pownall,5.4,3,5,63%,John Stephenson,"Drama,Kids&Family,ScienceFiction&Fantasy",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"Oct15,2004 wide","Jul 5, 2005",NR,0,0,1,0,0,0,89 minutes,Capitol Films,David M. Solomons
15,5 to 7,3.7,70%,"$117,066",Anton Yelchin|Brnice Marlohe|Olivia Thirlby|Glenn Close|Eric Stoltz|Frank Langella,5.7,17,38,69%,Victor Levin,"Comedy,Romance",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Apr3,2015 limited","Aug 18, 2015",R (for some sexual material),0,0,0,0,0,1,95 minutes,IFC Films,Victor Levin
16,68 Kill,3.5,55%,"$117,066","Matthew Gray Gubler|AnnaLynne McCord|Alisha Boe|Sheila Vand|Sam Eidson|Michael Beasley|James Moses Black|David Maldonado|Ajay Mehta|Hallie Grace Bradley|Lucy Faust|Peter Jaymes, Jr.|Walker Babington|Carlos Antonio",6.1,5,13,72%,Trent Haaga,"Comedy,Romance",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Aug4,2017 limited","Jan 9, 2018","NR (for strong bloody violence, sexual content and language throughout, some drug use and brief nudity)",0,0,1,0,0,0,93 minutes,Snowfort Pictures,Trent Haaga
17,90 Minutes In Heaven,3.2,50%,"$117,066",Hayden Christensen|Kate Bosworth|Dwight Yoakam|Hudson Meek|Jason Kennedy|Bobby Batson|Elizabeth Hunter|Fred Dalton Thompson|David Clyde Carr|Catherine Carlen|Gianna Simone|Michael Harding|Rhoda Griffis|Cynthia Barrett|Mark Oliver|Bruce Taylor|Matthew Bauman|Trevor Martin|Salley Hooks|Matthew Cornwell|Jody Thompson|Aaron Webb|Geoffrey Williams|Geordie White|Ashley Bratcher|Vanessa Cloke|Cara Mantella|Kathy Payne|Tang Nguyen|Michael W. Smith|David Carr|Harrison Powell|Marshall Bell|Lynn Cole|Lynne Cole|Michael Crider|Tom Key|Marty Stonerock|Shane Jackson|Deena Beasley|Gregory Alan Williams|Jasper Polish|Rob Demery|Tyler Case|Pastor Don Piper|Nicholas Pryor,4.4,16,5,24%,Michael Polish,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Sep11,2015 limited","Dec 1, 2015",PG-13 (for intense accident and injury images),0,0,0,0,1,0,121 minutes,Samuel Goldwyn Films,Michael Polish
18,A Bird of the Air,3.5,61%,"$10,152",Rachel Nichols|Jackson Hurst|Anjanette Comer|Buck Henry|Linda Emond|Todd La Tourrette|Bernardo P. Saracino|Kevin Skousen|Genia Michaela|Carmela Rappazzo|Matte Osian|Judith Ivey|Kaiulani Lee|Rocco Sisto|Michael Sheets|Paul Twitchell|Carrie Fleming|Erik Jensen|Jessamyn Blakeslee|Gary Farmer|Louis Zorich|Juliet Lopez|Kat Sawyer|Jocelyn Towne|Phyllis Somerville|Stephanie Jones|Oscar and Meyer|Meyer|George|Brandy Norwood,5.7,7,3,30%,Margaret Whitton,"Comedy,Drama,Romance",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Sep23,2011 limited","Apr 10, 2012",PG-13,0,0,0,0,1,0,98 minutes,Paladin Films,Roger Towne
19,A Boy Called Po,4.3,80%,"$2,597",Christopher Gorham|Julian Feder|Kaitlin Doubleday|Andrew Bowen|Sean Gunn|Caitlin Carmichael|Bryan Batt|Fay Masterson|Jayden Anderson|Tristian Chase|Kassi Crews|Tammy Dahlstrom|Mason Hafer|Kaia Jones|Nicole Koval|Richard Leacock|Holly Lynch|Craig Michaelson|Joel Michaely|Vasilios Papadamakis|Robyn Pucay|Skyler Quinn|Pilot Saraceno|Ryan Quinn Smith|Daniel Spink|Ella Thomas|Jud Tylor|Bruce VanPatten|Robert L. Wilson|Brian George,5.1,9,4,31%,John Asher,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Sep1,2017 limited","Sep 1, 2017",PG (for thematic elements and some language),0,0,0,1,0,0,95 minutes,Freestyle Digital Media,Colin Goldman
20,A Bucket of Blood,3.4,68%,"$2,597",Dick Miller|Barboura Morris|Anthony Carbone|Ed Nelson|Julian Burton|John Brinkley|John Herman Shaner|Judy Bamber|Myrtle Vail|Myrtle Domerel|Bert Convy|Jhean Burton|Jean Burton|Alex Gottlieb|Bruno Ve Sota,6.8,3,8,73%,Roger Corman,"Comedy,Horror,Mystery&Suspense",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Oct21,1959 wide","Jan 25, 2005",NR,0,0,1,0,0,0,66 minutes,American Pop,Charles B. Griffith
21,A Coffee in Berlin,3.7,74%,"$2,597",Tom Schilling|Friederike Kempter|Marc Hosemann|Justus von Dohnnyi|Ulrich Noethen|Michael Gwisdek|Katharina Schttler|Frederick Lau|Arnd Klawitter|Martin Brambach|Andreas Schrders|Steffen Jrgens,6.6,13,36,73%,Jan Ole Gerster,"Comedy,Drama",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Jun13,2014 limited","Oct 21, 2014",NR,0,0,1,0,0,0,88 minutes,Music Box Films,Jan Ole Gerster
22,A Few Best Men,2.8,36%,"$3,461,533",Xavier Samuel|Laura Brent|Olivia Newton-John|Kevin Bishop|Kris Marshall|Tim Draxl|Rebel Wilson,3.6,33,6,15%,"Stephan Elliott, Stephan Elliot",Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jun13,2014 limited","May 5, 2015",NR,0,0,1,0,0,0,97 minutes,Universal Pictures,Dean Craig
23,A Film Unfinished,4,86%,"$311,542",N/A,8.5,2,62,97%,Yael Hersonski,"ArtHouse&International,Documentary,SpecialInterest,Television",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"Aug18,2010 limited","Jan 1, 2011",NR (for disturbing images and Holocaust atrocities including graphic nudity),0,0,1,0,0,0,89 minutes,Oscilloscope Pictures,Dean Craig
24,A Hard Day,3.7,77%,"$311,542",Seon-gyun Lee|Lee Sun-gyun|Man-sik Jeong|Man-shik Jeong|Jin-woong Jo|Shin Jung-keun|Shin Dong-mi|Sin Jeong-geun|Jang In-sub|In-sub Jang|Dong-Young Kim|Bo-gum Park,7.4,6,22,79%,"Kim Seong-hun, Kim Seong-hoon","Action&Adventure,ArtHouse&International,Drama",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Jul17,2015 limited","Nov 24, 2015",NR,0,0,1,0,0,0,111 minutes,Kino Lorber Films,Kim Seong-hun
25,A Haunted House,3.2,51%,"$32,536,865",Marlon Wayans|Essence Atkins|Cedric the Entertainer|Nick Swardson|David Koechner|Affion Crockett|Andrew Daly|Alanna Ubach|Marlene Forte|Dave Sheridan|Robin Thede,2.6,47,5,10%,Michael Tiddes,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jan11,2013 wide","Apr 23, 2013","R (for crude and sexual content, language and some drug use)",0,0,0,0,0,1,86 minutes,Open Road Films,"Rick Alvarez, Marlon Wayans"
26,A Horrible Way to Die,2.7,36%,"$32,536,865",AJ Bowen|Amy Seimetz|Joe Swanberg|Brandon Carroll|Lane Hughes|Holly Voges|Kelsey Munger|Michael Anthony Miller|Ed Hanson|Gabe Viles|Kristin Denise Racicot|Kirstin Denise Racicot|Whitney Moore|Cathe Frank,6.3,3,5,63%,Adam Wingard,"Horror,Mystery&Suspense",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Aug19,2011 limited","Sep 6, 2011","R (for disturbing bloody violence and images, language, some sexuality and nudity)",0,0,0,0,0,1,87 minutes,Anchor Bay Entertainment,Simon Barrett
27,A Little Chaos,3.3,48%,"$551,609",Kate Winslet|Matthias Schoenaerts|Alan Rickman|Stanley Tucci|Helen McCrory|Jennifer Ehle|Thomas Allam|Hope Hancock|Isabella Steinbarth|Hal Hewetson|Carolina Valds|Eleanor Montgomery|Danny Webb|Cathy Belton|Steven Waddington|Adrian Scarborough|Adrian Schiller|Ben Fox|Morgan Watkins|Angus Wright|Alistair Petrie|Rupert Penry-Jones|Mia Threapleton|Henry Garrett|Jamie Bradley|Andrea Paula Paul|Richard Heap|Lois Wright|David Foxxe|William Spray|Fidelis Morgan|Pauline Moran|Michelle Newell|Kirsty Oswald|Phyllida Law|Ben Roberts|John Wark|Robin Hooper|Kristin Milward|Adam James|William Allam,5.4,48,39,45%,Alan Rickman,"ArtHouse&International,Drama",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Jun26,2015 limited","Aug 4, 2015",R (for some sexuality and brief nudity),0,0,0,0,0,1,116 minutes,Focus Features,"Alison Deegan, Jeremy Brock, Alan Rickman"
28,A Little Trip to Heaven,3,42%,"$551,609",Forest Whitaker|Julia Stiles|Jeremy Renner|Peter Coyote|Philip Jackson|Anne Reid|Phyllida Law|Alfred Harmsworth|Joanna Scanlan|Iddo Goldberg|Vladas Bagdonas,4.7,4,2,33%,Baltasar Kormkur,"Comedy,Drama,Mystery&Suspense",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"Mar13,2007 wide","Mar 13, 2007","R (for language, some violence and disturbing images)",0,0,0,0,0,1,105 minutes,First Look Home Entertainment,"Baltasar Kormkur, Edward Martin Weinman"
29,A Mighty Heart,3.5,70%,"$9,093,521",Mohammad Afzal|Arif Kahn|Amit Dhawan|Alya Khan|Afar Zarachiwala|Dr. Sayed Masood,7,41,153,79%,Baltasar Kormkur,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Jun22,2007 wide","Oct 16, 2007",R (for language),0,0,0,0,0,1,107 minutes,Paramount Vantage,Mariane Pearl
30,A Perfect Man,2.5,24%,$388,Liev Schreiber|Jeanne Tripplehorn|Joelle Carter|Louise Fletcher|Rene Soutendijk|Kevin Rooney|Huub Stapel,4.8,4,1,20%,Kees Van Oostrum,"Comedy,Drama",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Nov1,2013 limited","Jan 27, 2014","R (for language, some sexual content and bried drug use)",0,0,0,0,0,1,95 minutes,IFC Films,"Peter Elkoff, Larry Brand"
31,A Plumm Summer,3.2,45%,$388,William Baldwin|Owen Pearce|Lisa Guerrero|Brenda Strong|Chris Kelly|Chris J. Kelly|Henry Winkler|Morgan Flynn|Peter Scolari|Rick Overton|Clint Howard|Steve Altman|Gregg Bello|Richard Riehle|Ian Lacy|Tim Quill|Chris Massoglia|Fuschia Sumner|Quinn Knox|Jeff Daniels,4.5,8,2,20%,Caroline Zelder,"Action&Adventure,Comedy,Kids&Family,Television",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Apr25,2008 wide","May 5, 2009",PG (for thematic elements and some mild rude language),0,0,0,1,0,0,101 minutes,Freestyle Releasing,"Caroline Zelder, Frank Antonelli, TJ Lynch"
32,A Poem Is A Naked Person,3.2,55%,"$54,599",Maureen Gosling|Willie Nelson|Harrod Blank|George Jones|Jim Franklin,7.7,5,31,86%,Les Blank,Documentary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jul1,2015 limited","Mar 29, 2016",NR,0,0,1,0,0,0,90 minutes,Janus Films,Les Blank
33,A Small Act,4,78%,"$54,599",N/A,6.2,2,14,88%,Jennifer Arnold,"Documentary,SpecialInterest",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Oct29,2010 limited","May 24, 2011",NR,0,0,1,0,0,0,85 minutes,HBO Documentary Films,Jennifer Arnold
34,A Tale of Love and Darkness,3.3,48%,"$569,381",Natalie Portman|Makram Khoury|Shira Haas|Gilad Kahana|Neta Riskin|Amir Tessler|Ohad Knoller|Henry David|Dina Doron|Rotem Keinan|Alexander Peleg|Vladimir Friedman|Varda Ben Hur|Maria Belkin|Erez Eyni Shavit|Errel Steinmetz|Peter Knoller|Gera Sandler|Tomer Kapon|Mor Cohen|Silvia Drori|Ruth Rasiuk|Amir Hinkis|Ahmed Saleh|Or Shefer|Itzchak Peker|Moni Moshonov,6.1,19,39,67%,Natalie Portman,"ArtHouse&International,Drama",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Aug19,2016 limited","Mar 28, 2017",PG-13 (for thematic content and some disturbing violent images),0,0,0,0,1,0,95 minutes,Focus World,Natalie Portman
35,A Tale of Two Cities,3.8,83%,"$569,381",Ronald Colman|Elizabeth Allan|Edna May Oliver|Reginald Owen|Basil Rathbone|Ronald L. Coleman|Henry B. Walthall|Donald Woods|Walter Catlett|Fritz Leiber|Blanche Yurka|H.B. Warner|Mitchell Lewis|Claude Gillingwater|Billy Bevan|Isabel Jewell|Lucille La Verne|Tully Marshall|Fay Chaldecott|Eily Malyon|E.E. Clive|Lawrence Grant|John Davidson|Tom Ricketts|Donald Haines|Ralf Harolde|Nigel De Brulier|Boyd Irwin|Sam Flint|Winter Hall|Edward Peil Sr.|Edward Hearn|Richard Alexander|Cyril McLaglen|Frank Mayo|Walter Kingsford|Barlowe Borland|Rolfe Sedan|Robert Warwick|Dale Fuller|C. Montague Shaw|Tempe Piggott|Chappell Dossett|Forrester Harvey|Jimmy Aubrey|Solange Dantas dos Santos|Billy House,8.2,0,10,100%,Jack Conway,"Classics,Drama,Romance",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Jan1,1935 wide","Oct 10, 2006",NR,0,0,1,0,0,0,128 minutes,Warner Home Video,"S.N. Behrmann, W.P. Lipscomb"
36,About Cherry,2.3,15%,"$2,760","Ashley Grace|Lili Taylor|Dev Patel|Heather Graham|James Franco|Jonny Weston|Diane Farr|Maya Donato|Vincent Palo|Elan Krausz|Lorelei Lee|K. Lee|Michael Manuel Torres|Robert Nelson|Viva Celso|Cully Fredricksen|Donald Lacy, Jr.|James Anthony Cotton|Nkechi Odina|Ernest Waddell|Sarah Curtiss|Ben Simonetti|Nelson Lee|Megan Boone|Karyn Hunt|Jordan Kessler|Momo Juniper Hurley|Mike Bessoni|Melissa Tan|Tom McGraw|Darryl Fong|Dennis Smith|Amy Huckabay|Patrick Alparone|Dan Weiss|Tim Lewis|Peter Alton|Windy Chien|Ricky Saenz|Mark Silversten|Peter Kepler|Tristin Hagen|Andy Miller|Veronica Valencia|Sensi Pearl|Leo Gaelan McKeown Hickel|Nina Ljeti|Sean Thomas|Alexa Inkeles|Isaac Fitzgerald",4,18,2,10%,Stephen Elliott,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Sep21,2012 limited","Jan 15, 2013",R,0,0,0,0,0,1,102 minutes,IFC Films,"Stephen Elliott, Lorelei Lee"
37,Ace the Case Manhattan Mystery,3.3,50%,"$2,760","Susan Sarandon|Ripley Sobo|Aaron Sauter|Lev Gorn|Marc Menchaca|Ivana Kane|Arturo Castro|Johnny Tran|Ginna Le Vine|Thomas Cohen|Amy Chang|Scotty Dillin|James Kacey|Ricky Garcia|Shannon Walsh|Esther Zynn|Ezra Barnes|Christopher White|Brian Distance|Douglas J. Aguirre|Clem Cheung|Chetna Goel|Angela Chew|Takyrah Jones|Christine Kellogg|Calvin Ahn|Korie Lee Blossey|Doug Druckner|Mackenzie Dudzik|Cherry Fu|Hiro Honda|Sophia Karam|Christine Kellogg-Darrin|Jalesia Martinez|And Palladino|Hope Salvan|Cliff Samara|Anthony Wills, Jr.",2.9,4,1,20%,Kevin Kaufman,Mystery&Suspense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Aug26,2016 limited","Aug 26, 2016","PG-13 (for some elements of violence and peril, and brief teen drinking)",0,0,0,0,1,0,94 minutes,Kaufman Films Inc.,Kevin Kaufman
38,Act & Punishment,N,N/A,"$2,760",Nadezhda Tolokonnikova|Mariya Alyokhina|Yekaterina Samutsevich,7,0,5,100%,Kevin Kaufman,"ArtHouse&International,Documentary",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jan23,2018 limited","Jan 23, 2018",NR,0,0,1,0,0,0,90 minutes,Cleopatra Entertainment,Kevin Kaufman
39,Acts of Vengeance,2.8,23%,"$2,760",Antonio Banderas|Karl Urban|Paz Vega|Cristina Serafini|Atanas Srebrev|Robert Forster|Mark Rhino Smith|Isaac Florentine,4.4,4,4,50%,Isaac Florentine,"Action&Adventure,Drama",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Oct27,2017 limited","Nov 28, 2017",R (for violence and language),0,0,0,0,0,1,86 minutes,Saban Films,Matt Venne
40,Adoration,3.2,48%,"$93,518",Arsine Khanjian|Scott Speedman|Rachel Blanchard|Noam Jenkins|Devon Bostick|Kenneth Welsh|Thomas Hauff|Geraldine O'Rawe|Louca Tassone|Tony Nardi|Janice Stein|Katie Boland|Hailee Sisera|Aaron Poole|Paul Soles|James Binkley|Soo Garay,6.1,38,63,62%,Atom Egoyan,"ArtHouse&International,Drama",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"May22,2008 wide","May 30, 2009",R (for language),0,0,0,0,0,1,100 minutes,Sony Pictures Classics,Atom Egoyan
41,Advise and Consent,3.9,90%,"$93,518",Henry Fonda|Charles Laughton|Don Murray|Walter Pidgeon|Peter Lawford|George Grizzard|Gene Tierney|Franchot Tone|Lew Ayres|Burgess Meredith|Eddie Hodges|Paul Ford|Inga Swenson|Paul McGrath|Will Geer|Betty White|Malcolm Atterbury|Russ Brown|Edward Andrews|Sid Gould|J. Edward McKinley|Bill Quinn|Tiki Santos|Raoul de Leon|Tom Helmore|Michele Montau|Hilary Eaves|Chet Stratton|John Granger|Rene Paul|Janet Jane Carty,7.8,2,9,82%,Otto Preminger,"Classics,Drama,Mystery&Suspense",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"Jun6,1962 wide","May 10, 2005",NR,0,0,1,0,0,0,140 minutes,WARNER BROTHERS PICTURES,Wendell Mayes
