,1_Movie,AudienceAverageRating,AudienceScore,BoxOffice,Cast,CriticAverageRating,CriticNegativeReviewsCount,CriticPositiveReviewsCount,CriticScore,DirectedBy,Genre,Genre_Action&Adventure,Genre_Animation,Genre_Anime&Manga,Genre_ArtHouse&International,Genre_Classics,Genre_Comedy,Genre_CultMovies,Genre_Documentary,Genre_Drama,Genre_Faith&Spirituality,Genre_Gay&Lesbian,Genre_Horror,Genre_Kids&Family,Genre_Musical&PerformingArts,Genre_Mystery&Suspense,Genre_Romance,Genre_ScienceFiction&Fantasy,Genre_SpecialInterest,Genre_Sports&Fitness,Genre_Television,Genre_Western,InTheaters,OnDisc/Streaming,Rating,Rating_G,Rating_NC17,Rating_NR,Rating_PG,Rating_PG-13,Rating_R,Runtime,Studio,WrittenBy
502,Mongol,3.7,76%,"$5,600,000",Tadanobu Asano|Honglei Sun|Khulan Chuluun|Aliya|Ba Sen|Amarbold Yuvinbayar|Amadu Mamadakov|Ba Yin|Bayartsetseg Erdenabat|Odnyam Odsuren|He Qi|Sun Ben Hou|Bu Ren|Ji Ri Mu Tu|You Er|Hong Jong Ba Tu,7.1,15,87,85%,Sergey Bodrov,"Classics,Drama",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Jun6,2008 wide","Oct 14, 2008",R (for sequences of bloody warfare),0,0,0,0,0,1,121 minutes,Picturehouse,"Arif Aliyev, Sergey Bodrov"
503,Monk With a Camera,3.7,67%,"$10,000",Nicholas Vreeland|John Avedon|Tenzin Chokyi Gyatso|Alexander Vreeland|Khylongla Rinpoche|Richard Gere|Tonne Goodman|Ptolemy Thompkins|Wendy Goodman|Frecky Vreeland,6.8,2,12,86%,"Tina Mascara, Guido Santi","Documentary,SpecialInterest",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Nov21,2014 limited","Apr 7, 2015",NR,0,0,1,0,0,0,90 minutes,Kino Lorber,"Arif Aliyev, Sergey Bodrov"
504,Monsieur Lazhar,4,86%,"$2,009,041",Mohamed Fellag|Sophie Nlisse|Emilien Nron|Danielle Proulx|Seddik Benslimane|Brigitte Poupart|Louis Champagne|Jules Philip|Francine Ruel|Seddik Benslimane|Sophie Sanscartier|Marie-ve Beauregard|Louis-David Leblanc|Millard Vincent|Andr Robitaille|Daniel Gadouas|Stphane Demers|Evelyne De La Cheneliere|Marie Charlebois|Nico Lagarde,8.2,3,111,97%,Philippe Falardeau,"ArtHouse&International,Comedy,Drama",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Apr13,2012 limited","Aug 28, 2012","PG-13 (for mature thematic material, a disturbing image and brief language)",0,0,0,0,1,0,94 minutes,Music Box Films,Philippe Falardeau
505,Monster House,3.2,63%,"$73,661,010",Steve Buscemi|Nick Cannon|Maggie Gyllenhaal|Jon Heder|Kevin James|Jason Lee|Sam Lerner|Spencer Locke|Mitchel Musso|Catherine O'Hara|Kathleen Turner|Fred Willard|Ryan Newman (III)|Woody Schultz|Ian McConnel|Erik Walker|Matthew Fahey|Kevin the Dog|Blanchard Marissa|Ranjani Brow|Kimberly Beck Clark|Miles Clark|David Cowgill|McKenna Cowgill|Harrison Fahn|Frannie Felder|Spencer Lacey Ganus|Bridget Hoffman|Wendy Hoffman|Mary Matilyn Mouser|Emanuel Orlando|Zoey Poll|Zack Shada|Justin Moran Shenkarow|W.K. Stratton|Hans Tester|Corbett Tuck|Ariel Winter|Lora Witty|Tyler Zaentz|Kayleen Ancheta,6.8,41,118,74%,Gil Kenan,"Action&Adventure,Animation,Kids&Family",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Jul21,2006 wide","Oct 24, 2006","PG (for scary images and sequences, thematic elements, some crude humor and brief language)",0,0,0,1,0,0,91 minutes,Sony Pictures Releasing,"Dan Harmon, Rob Schrab, Pamela Pettler"
506,Monster Hunt,3.2,48%,"$21,074",Jing Boran|Jiang Wu|Eric Tsang|Elaine Jin|Baihe Bai|Tang Wei|Sandra Ng Kwan Yue|Kaiyan Yan|Wallace Chung|Yao Chen|Jianfeng Bao|Yuexin Wang|Xiaodong Guo|Jingjing Li|Cindy Tian|Yuexuan Zhang|Taishen Cheng|Chunxia Liu|Kai Kang|Ludi Lin|Anthony Pun|Leon Ko,5.8,10,17,63%,Raman Hui,"Action&Adventure,Comedy,ScienceFiction&Fantasy",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Jan22,2016 limited","Aug 1, 2016",NR,0,0,1,0,0,0,115 minutes,Edko Films,Alan Yuen
507,Monsters Dark Continent,2.1,16%,"$21,074",Joe Dempsie|Johnny Harris|Kyle Soller|Sam Keeley|Sofia Boutella|Nicholas Pinnock|Jesse Nagy|Lulu Dahl|Michaela Coel|Parker Sawyers|Charles K. Redlinger|Rajinikanth|DeSean Whipple,4,29,6,17%,Tom Green (III),"Drama,Mystery&Suspense,ScienceFiction&Fantasy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,"Apr17,2015 wide","Jun 2, 2015","R (for graphic war violence, pervasive language, some strong sexual content/nudity and drug use)",0,0,0,0,0,1,116 minutes,Radius,Jay Basu
508,Mooz-lum,4,78%,"$21,074",Evan Ross|Nia Long|Danny Glover|Roger Guenveur Smith|Dorian Missick|Summer Bishil,7,2,7,78%,Qasim Basir,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Feb4,2011 limited","Jun 14, 2011",PG-13 (for thematic material and some violent content),0,0,0,0,1,0,99 minutes,Independent Pictures,Qasim Basir
509,Mother's Day,3,44%,"$29,149,230",Jennifer Aniston|Kate Hudson|Julia Roberts|Jason Sudeikis|Britt Robertson|Timothy Olyphant|Jack Whitehall|Hector Elizondo|Shay Mitchell|Jon Lovitz|Brandon Spink|Christine Lakin|Sarah Chalke|Ella Anderson|Margo Martindale|Robert Pine|Aasif Mandvi|Cameron Esposito|Owen Vaccaro|Grayson Russell|Sandra Taylor|Gianna Simone|Jessi Case|Loni Love|Nicolette Noble|Sean O'Bryan|Ariana Neal|Jamie Soricelli|Lucy Walsh|Kate Linder|Caleb Brown|Tom Hines|Adreanna Gonzalez|Patti Schellhaas|Brittany Belt|Wedil David|Paul Vogt|Bethany Hartman|Anoush Nevart|Ayden Bivek|Drew Matthews|Matthew Walker|Jenifer Dillow|Richard Molina|Donielle Artese|Mikaela Gilden|Kevin Blake|Amanda Smith|Genevieve Joy|Bricine Brown|Stephen Dean|Natalie Lymor|Melissa Yu|Gabrielle Grimm|Mandy Oakes|Eric Elijah Rogers|Brandi Lewis|Shara London|Rodney Luis Aquino|Kevin Marshall Pinkney|Karah Britton|Maiya Boyd|Dawlish Carmauta|Jas Hardy|Suzanne Haring,2.9,137,9,6%,Garry Marshall,"Comedy,Drama",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Apr29,2016 wide","Aug 2, 2016",PG-13 (for language and some suggestive material),0,0,0,0,1,0,119 minutes,Open Road Films,"Anya Kochoff, Matthew Walker, Tom Hines"
510,Much Ado About Nothing,3.8,77%,"$4,200,000",Amy Acker|Alexis Denisof|Clark Gregg|Reed Diamond|Fran Kranz|Jillian Morgese|Nathan Fillion|Sean Maher|Spencer Treat Clark|Riki Lindhome|Tom Lenk|Ashley Johnson|Emma Bates|Joshua Zar|Nick Kocher|Brian McElhaney|Paul Meston|Romy Rosemont|Elsa Guillet-Chapuis,7.6,24,136,85%,Joss Whedon,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jun7,2013 limited","Oct 8, 2013",PG-13 (for some sexuality and brief drug use),0,0,0,0,1,0,108 minutes,Roadside Attractions,Joss Whedon
511,Muppets Most Wanted,3.5,58%,"$46,429,909",Ricky Gervais|Tina Fey|Ty Burrell|Ray Liotta|Steve Whitmire|Eric Jacobson|Dave Goelz|Bill Barretta|David Rudman|Matt Vogel|Peter Linz|Hugh Bonneville|Andrs Cantor|Jemaine Clement|Kenneth Collard|Salma Hayek|Ross Lynch|Aleksandar Mikic|Fleur Poad|Saoirse Ronan|Til Schweiger|Russell Tovey|Danny Trejo|Stanley Tucci,6.8,37,147,80%,James Bobin,"Comedy,Kids&Family",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Mar21,2014 wide","Aug 12, 2014",PG (for some mild action),0,0,0,1,0,0,107 minutes,Walt Disney Pictures,"James Bobin, Nicholas Stoller"
512,Murder of a Cat,2.7,28%,"$46,429,909",Fran Kranz|Nikki Reed|J.K. Simmons|Blythe Danner|Greg Kinnear|Ted Raimi|Leonardo Nam|Dileep Rao|Carla Jimenez|Debra Christofferson|Joanne Baron|Tom Yi|Aidan Andrews|Bart McCarthy|Brian Turk|Ayesha Fraser|Will C. Brown|Bonnie Hellman|Lauren Sivan|Tahmus Rounds|Donald Prince|Bruce Katzman|David Willis|Daniel D. Houy|Johnny Otto|Jon Michael Lawrence|Audrey Huynh|Sean Whalen,2.5,7,3,30%,Gillian Greene,"Comedy,Drama,Mystery&Suspense",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"Dec5,2014 wide","May 5, 2015",NR,0,0,1,0,0,0,101 minutes,Gravitas Ventures,"Robert Snow, Christian Magalhaes"
513,My Golden Days,3.2,49%,"$46,429,909",Quentin Dolmaire|Lou Roy-Lecollinet|Mathieu Amalric|Dinara Drukarova|Cecile Garcia-Fogel|Franoise Lebrun|Olivier Rabourdin|Lou Roy-Lecollinet|Elyot Milshtein|Pierre Andrau|Lily Taieb|Raphal Cohen|Kheifets Gregory|Clemence Le Gall|Tho Fernandez|Mlodie Richard|Anne Benot|Yassine Douighi|Eve Doe-Bruce|Mlodie Richard|Irina Vavilova|Eric Ruf,7.6,8,60,88%,Arnaud Desplechin,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Mar18,2016 limited","Jul 12, 2016","R (for some strong sexual content, graphic nudity, and language)",0,0,0,0,0,1,120 minutes,Magnolia Pictures,"Arnaud Desplechin, Julie Peyr"
514,Mystic River,3.7,89%,"$88,800,000",Sean Penn|Tim Robbins|Kevin Bacon|Laurence Fishburne|Marcia Gay Harden|Laura Linney|Kevin Chapman|Adam Nelson|Emmy Rossum|Cameron Bowen|Andrew Mackin|Matty Blake|Andrew Blesser|Douglass Bowen Flynn|Jenny O'Hara|Cayden Boyd|Charley Broderick|Ken Cheeseman|Jonathan Togo|Spencer Treat Clark|John Doman|Brad R. Douglas|Celine du Terte|Bruce Page|Shawn Fitzgibbon|Ari Graynor|Miles Herter|Tori Davis|Tom Guiry|Lance Norris|Ed O'Keefe|Will Lyman|John Pungitore|Celine Du Tertre|Zabeth Russell|Joe Stapleton|Martin Stephen O'Neil|Anthony Taurasi|Brian Van Kay|Jose Ramon Rosario|Tom Kemp|Robert Wahlberg|Jillian Wheeler|Lonnie Farmer|Kris Swanberg|Celeste Oliva|Susan Willis|Scott Winters|Bates Wilder|Connor Paolo|Douglas Bowen Flynn|Bill Thorpe|Jason Kelly|Thomas Derrah|Jim Smith|Patrick Shea|Duncan Putney|Dave Zee Garlson|Michael McGovern|Bill Richards|Michael Peavey|Eli Wallach|Lennie Niehaus,7.8,25,176,88%,Clint Eastwood,"Drama,Mystery&Suspense",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"Oct8,2003 wide","Jun 8, 2004",R (for language and violence),0,0,0,0,0,1,137 minutes,WB,Brian Helgeland
515,NASCAR The IMAX Experience,4.1,88%,"$19,947,653",Kiefer Sutherland|Jeff Gordon|Dale Earnhardt|Tony Stewart|Jimmie Johnson|Bobby Labonte|Dale Earnhardt Jr.|Jimmy Johnson|Matt Kenseth|Ryan Newman (III),6.1,17,27,61%,Simon Wincer,"Documentary,Drama,SpecialInterest,Sports&Fitness",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"Mar12,2004 limited","Mar 15, 2005",PG (for some crash scenes),0,0,0,1,0,0,47 minutes,Warner Bros. Pictures,Mark Bechtel
516,National Lampoon's Pledge This!,2.2,17%,"$19,947,653",Paris Hilton|Paula Garcs|Sarah Carter|Kerri Kenney-Silver|Simon Rex|Geoffrey Arend|Holly Valance|Noureen DeWulf|Alexis Thorpe|Amanda Rowan|Nicky Hilton|Randy Spelling|Sarai Howard|Amanda Aday|Carmen Electra|Greg Cipes|Diva Zappa|Bianca Lawson|Keith Hudson|Preston Lacy|Sam Maccarone|Sam E. Goldberg|Dave Ruby|Elizabeth Daily|Sofa Vergara|Rick Najera|Eugenio Derbez|Angela Dodson|April Florio|Camille Langfield|Julia Lehman|Alison MacInnis|Mickey Mickey|Shamron Moore|Kyle Richards|Lin Shaye,2.1,6,0,0%,William Heins,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dec1,2006 wide","Dec 19, 2006","R (for pervasive strong crude and sexual content, nudity, language and some drug material)",0,0,0,0,0,1,90 minutes,Freestyle Releasing,"Cheryl Guerriero, Jason Jordan, Matthew Lawton, Anna Obropta"
517,Night Will Fall,4.4,92%,"$19,947,653",Helena Bonham Carter|Sidney Bernstein|Alfred Hitchcock|Richard Crossman|Billy Wilder|Peter Tanner|Arthur Mainzer,8.1,0,22,100%,Andr Singer,"Documentary,Drama,SpecialInterest",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"Dec1,2006 wide","Jan 19, 2016",NR,0,0,1,0,0,0,80 minutes,Spring Films Ltd.,Lynette Singer
518,Ninja Assassin,3.3,54%,"$38,105,077",Rain|Naomie Harris|Ben Miles|Rick Yune|Sh Kosugi|Guido Foehrweisser|Stephen Marcus|Wladimir Tarasjanz|Vladimir Tarasjanz|Randall Duk Kim|Sung Kang|Jonathan Chan-Pensley|Ill-Young Kim|Yuki Iwamoto|Linh-Dan Pham|Yu Fang|Adriana Altaras|Kylie Liya Goldstein|Yoon Sungwoong|Eleonore Weisgerber|Joon Lee (V)|Kai Fung Rieck|Anna Sawai|Thorston Manderlay|Richard van Weyden|Richard Vanweyden|Mina Ghousi|Hans Hohlbein|Nhi Ngoc Nguyen-Hermann|Tim Williams|David Leitch|Wolfgang Stegemann|Steffen Groth|Jens Neuhaus|Patrick Pinheiro|Matthias Schendel|Johannes Ahn,4.2,85,29,25%,James McTeigue,"Action&Adventure,Drama",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Nov25,2009 wide","Mar 16, 2010","R (for strong bloody stylized violence throughout, and language)",0,0,0,0,0,1,99 minutes,Warner Bros. Pictures/Dark Castle Ent.,"J. Michael Straczynski, Matthew Sand"
519,No One Lives,3.1,42%,"$53,929",Luke Evans|Adelaide Clemens|Lee Tergesen|Derek Magyar|America Olivo|Beau Knapp|Laura Ramsey|Brodus Clay|Lindsey Shaw,4.3,19,17,47%,Ryuhei Kitamura,"Horror,Mystery&Suspense",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"May10,2013 limited","Aug 20, 2013","R (for strong bloody violence, disturbing images, pervasive language and some sexuality/nudity)",0,0,0,0,0,1,86 minutes,Anchor Bay Films,David Lawrence Cohen
520,Normal Life,3.1,47%,"$53,929",Ashley Judd|Luke Perry|Bruce A. Young|Jim True-Frost|Dawn Maxey|Penelope Milford|Tom Towles|Kate Walsh|Gregory Scott Cummins|Bryan McCann|Edmund Wyson|Michael Skewes|Kevin Mukherji|Brian McCann|Kevin Hurley|Brian Blondell|Grady Hutt|Jonathan Lavan|Diane Dorsey|Jennifer Chada|Tony Fitzpatrick|Tony Mockus Jr.|Letitia Hicks|Eric Young|Carlton Miller|Fred Stone|Rich Wilkie|Linda Perlin|Stacy Logan,6,3,7,70%,John McNaughton,"Drama,Mystery&Suspense",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"Aug30,1996 wide","Feb 15, 2005",R (adult situations/language),0,0,0,0,0,1,101 minutes,New Line Home Entertainment,"Peg Haller, Bob Schneider"
